"Data zamówienia";"Nr zamówienia";"Numer projektu";"Zlecenie";"Status wysyłki";"Tydzień dostawy";"Rodzaj dostawy";"Śledzenie";"Reklamacja";"rodzaj zamówienia";"Suma";"";"";"";""
"5.12.2025";"805/2025";"";"136704697";"Potwierdzona dostawa";"2026/4";"TIR";"";"";"Zamówienie";"542,75 €";"542,75";"EUR";"";""
"5.12.2025";"806/2025";"";"136704691";"Potwierdzona dostawa";"2026/4";"TIR";"";"";"Zamówienie";"240,25 €";"240,25";"EUR";"";""
"5.12.2025";"804/2025/cz";"";"136702902";"Potwierdzona dostawa";"2025/51";"TIR";"";"";"Zamówienie";"394,96 €";"394,96";"EUR";"";""
"4.12.2025";"803/2025/AKR.00";"";"136702128";"Potwierdzona dostawa";"2025/51";"TIR";"";"";"Zamówienie";"1 607,23 €";"1 607,23";"EUR";"";""
"4.12.2025";"788/2025";"";"136701411";"Potwierdzona dostawa";"2026/2";"TIR";"";"";"Zamówienie";"2 234,50 €";"2 234,50";"EUR";"";""
"4.12.2025";"802/2025/AKR.00";"";"136701408";"Potwierdzona dostawa";"2025/51";"TIR";"";"";"Zamówienie";"1 964,17 €";"1 964,17";"EUR";"";""
"4.12.2025";"801/2025/AKR.73";"";"136701405";"Potwierdzona dostawa";"2025/51";"TIR";"";"";"Zamówienie";"2 150,63 €";"2 150,63";"EUR";"";""
"4.12.2025";"729/2025/AKR.750";"";"136701404";"Potwierdzona dostawa";"2025/51";"TIR";"";"";"Zamówienie";"1 541,60 €";"1 541,60";"EUR";"";""
"4.12.2025";"728/2025/AKR.750";"";"136701403";"Potwierdzona dostawa";"2025/51";"TIR";"";"";"Zamówienie";"1 933,21 €";"1 933,21";"EUR";"";""
"4.12.2025";"799/2025";"";"136700865";"Potwierdzona dostawa";"2026/3";"TIR";"";"";"Zamówienie";"62,30 €";"62,30";"EUR";"";""
"4.12.2025";"800/2025";"";"136700838";"Potwierdzona dostawa";"2026/3";"TIR";"";"";"Zamówienie";"318,83 €";"318,83";"EUR";"";""
"4.12.2025";"792/2025";"";"136699805";"Potwierdzona dostawa";"2025/51";"TIR";"";"";"Zamówienie";"93,61 €";"93,61";"EUR";"";""
"3.12.2025";"798/2025";"";"136699318";"Potwierdzona dostawa";"2025/51";"TIR";"";"";"Zamówienie";"68,47 €";"68,47";"EUR";"";""
"3.12.2025";"794/2025";"";"136698766";"Potwierdzona dostawa";"2026/3";"TIR";"";"";"Zamówienie";"72,75 €";"72,75";"EUR";"";""
"3.12.2025";"795/2025";"";"136698762";"Potwierdzona dostawa";"2026/3";"TIR";"";"";"Zamówienie";"41,08 €";"41,08";"EUR";"";""
"3.12.2025";"796/2025";"";"136698760";"Potwierdzona dostawa";"2026/3";"TIR";"";"";"Zamówienie";"242,29 €";"242,29";"EUR";"";""
"3.12.2025";"797/2025";"";"136698757";"Potwierdzona dostawa";"2026/3";"TIR";"";"";"Zamówienie";"62,30 €";"62,30";"EUR";"";""
"3.12.2025";"793/2025 balustrada";"";"136698351";"Całkowicie dostarczone";"2025/50";"TIR";"";"";"Zamówienie";"33,12 €";"33,12";"EUR";"";""
"2.12.2025";"791/2025";"";"136695450";"Potwierdzona dostawa";"2026/3";"TIR";"";"";"Zamówienie";"240,25 €";"240,25";"EUR";"";""
"2.12.2025";"789/2025";"";"136692761";"Potwierdzona dostawa";"2026/2";"TIR";"";"";"Zamówienie";"27,40 €";"27,40";"EUR";"";""
"2.12.2025";"790/2025/CZ";"";"136692760";"Częściowo dostarczono";"2026/2";"TIR";"";"";"Zamówienie";"153,80 €";"153,80";"EUR";"";""
"28.11.2025";"787/2025";"";"136689054";"Potwierdzona dostawa";"2026/3";"TIR";"";"";"Zamówienie";"327,40 €";"327,40";"EUR";"";""
"28.11.2025";"785/2025";"";"136689050";"Potwierdzona dostawa";"2026/3";"TIR";"";"";"Zamówienie";"72,75 €";"72,75";"EUR";"";""
"28.11.2025";"786/2025";"";"136689049";"Potwierdzona dostawa";"2026/3";"TIR";"";"";"Zamówienie";"29,88 €";"29,88";"EUR";"";""
"27.11.2025";"783/2025";"";"136681607";"Potwierdzona dostawa";"2026/3";"TIR";"";"";"Zamówienie";"107,27 €";"107,27";"EUR";"";""
"27.11.2025";"784/2025";"";"136681605";"Potwierdzona dostawa";"2026/3";"TIR";"";"";"Zamówienie";"615,71 €";"615,71";"EUR";"";""
"26.11.2025";"782/2025";"";"136677637";"Potwierdzona dostawa";"2026/2";"TIR";"";"";"Zamówienie";"140,49 €";"140,49";"EUR";"";""
"26.11.2025";"781/2025";"";"136677636";"Całkowicie dostarczone";"2025/50";"TIR";"";"";"Zamówienie";"36,37 €";"36,37";"EUR";"";""
"25.11.2025";"780/2025";"";"136674461";"Potwierdzona dostawa";"2026/2";"TIR";"";"";"Zamówienie";"66,23 €";"66,23";"EUR";"";""
"25.11.2025";"779/2025";"";"136674460";"Potwierdzona dostawa";"2025/51";"TIR";"";"";"Zamówienie";"143,03 €";"143,03";"EUR";"";""
"5.12.2025";"805/2025";"";"136704697";"Potwierdzona dostawa";"2026/4";" TIR ";"";"";"Zamówienie";"542,75 €";"542,75";"EUR";"";""
"5.12.2025";"806/2025";"";"136704691";"Potwierdzona dostawa";"2026/4";" TIR ";"";"";"Zamówienie";"240,25 €";"240,25";"EUR";"";""
"5.12.2025";"804/2025/cz";"";"136702902";"Potwierdzona dostawa";"2025/51";" TIR ";"";"";"Zamówienie";"394,96 €";"394,96";"EUR";"";""
"4.12.2025";"803/2025/AKR.00";"";"136702128";"Potwierdzona dostawa";"2025/51";" TIR ";"";"";"Zamówienie";"1 607,23 €";"1 607,23";"EUR";"";""
"4.12.2025";"788/2025";"";"136701411";"Potwierdzona dostawa";"2026/2";" TIR ";"";"";"Zamówienie";"2 234,50 €";"2 234,50";"EUR";"";""
"4.12.2025";"802/2025/AKR.00";"";"136701408";"Potwierdzona dostawa";"2025/51";" TIR ";"";"";"Zamówienie";"1 964,17 €";"1 964,17";"EUR";"";""
"4.12.2025";"801/2025/AKR.73";"";"136701405";"Potwierdzona dostawa";"2025/51";" TIR ";"";"";"Zamówienie";"2 150,63 €";"2 150,63";"EUR";"";""
"4.12.2025";"729/2025/AKR.750";"";"136701404";"Potwierdzona dostawa";"2025/51";" TIR ";"";"";"Zamówienie";"1 541,60 €";"1 541,60";"EUR";"";""
"4.12.2025";"728/2025/AKR.750";"";"136701403";"Potwierdzona dostawa";"2025/51";" TIR ";"";"";"Zamówienie";"1 933,21 €";"1 933,21";"EUR";"";""
"4.12.2025";"799/2025";"";"136700865";"Potwierdzona dostawa";"2026/3";" TIR ";"";"";"Zamówienie";"62,30 €";"62,30";"EUR";"";""
"4.12.2025";"800/2025";"";"136700838";"Potwierdzona dostawa";"2026/3";" TIR ";"";"";"Zamówienie";"318,83 €";"318,83";"EUR";"";""
"4.12.2025";"792/2025";"";"136699805";"Potwierdzona dostawa";"2025/51";" TIR ";"";"";"Zamówienie";"93,61 €";"93,61";"EUR";"";""
