Numer zlecenia;Numer art.;Nowych bel;reszta
53658;18866000;8;3972
53658;19016000;2;0
53658;19315000;9;5188
53658;19671000;11;3527
53658;202609;7;5428
53658;202623;10;3214

Lista okien i drzwi dla tego zlecenia:
Lp.;Szerokosc;Wysokosc;Typ profilu;Ilosc sztuk;Referencja
1;3158;1321;BLOK;1;SIJM
2;3069;1106;BLOK;1;VILES
3;2564;1321;BLOK;1;GARRAT
4;2369;1321;BLOK;1;WOUTER KOOLEN
5;1965;1321;BLOK;1;SIJM
6;1025;1106;BLOK;1;VILES
7;790;1321;BLOK;1;GARRAT
Laczna liczba sztuk okien i drzwi:;7
Laczna liczba skrzydel:;11
Laczna liczba szyb:;17

Klient:AKROBUD SOKO£OWSKI SPÓ£KA KOMANDYTOWA
