Numer zlecenia;Numer art.;Nowych bel;reszta
53457-a;18866730;6;1548
53457-a;19016730;2;1680
53457-a;19315730;8;4783
53457-a;19671000;10;4878
53457-a;202609;5;1593
53457-a;202623;9;4496

Lista okien i drzwi dla tego zlecenia:
Lp.;Szerokosc;Wysokosc;Typ profilu;Ilosc sztuk;Referencja
1;3334;1195;BLOK;1;D4504
2;2740;1295;BLOK;1;D4525
3;2128;1345;BLOK;1;D4072
4;1870;1345;BLOK;1;D4072
5;1606;1195;BLOK;1;D4504
6;1380;1295;BLOK;1;D4525
Laczna liczba sztuk okien i drzwi:;6
Laczna liczba skrzydel:;9
Laczna liczba szyb:;15

Klient:AKROBUD SOKO£OWSKI SPÓ£KA KOMANDYTOWA
