Numer zlecenia;Numer art.;Nowych bel;reszta
53491;18866730;5;0
53491;18869730;9;5332
53491;19671000;9;5578
53491;202609;5;5620
53491;202623;8;3681

Lista okien i drzwi dla tego zlecenia:
Lp.;Szerokosc;Wysokosc;Typ profilu;Ilosc sztuk;Referencja
1;2416;1195;VLAK;1;D5235
2;1934;1285;VLAK;1;D5208
3;1673;1195;VLAK;1;D5349
4;1673;1195;VLAK;1;D5349
5;1512;1285;VLAK;1;D5208
6;1350;1285;VLAK;1;D5207
7;646;1285;VLAK;1;D5207
Laczna liczba sztuk okien i drzwi:;7
Laczna liczba skrzydel:;8
Laczna liczba szyb:;14

Klient:AKROBUD SOKO£OWSKI SPÓ£KA KOMANDYTOWA
