Numer zlecenia;Numer art.;Nowych bel;reszta
53555;18866730;11;4691
53555;19016730;4;5194
53555;19315730;12;3681
53555;19671000;10;2618
53555;19677000;6;1584
53555;202609;9;4142
53555;202623;14;2412

Lista okien i drzwi dla tego zlecenia:
Lp.;Szerokosc;Wysokosc;Typ profilu;Ilosc sztuk;Referencja
1;3480;1121;BLOK;1;GRACE
2;3150;921;BLOK;1;VEN DER HEIJDEN
3;2739;1421;BLOK;1;REAMAEKERS
4;2541;1121;BLOK;1;GRACE
5;2297;1141;BLOK;2;LOEFTEN
6;2071;1401;BLOK;1;KRUIJSSEN HOLDING
7;1459;1068;BLOK;1;MARTENS
8;1459;1068;BLOK;1;MARTENS
9;765;921;BLOK;1;VAN DER HEIJDEN
Laczna liczba sztuk okien i drzwi:;10
Laczna liczba skrzydel:;17
Laczna liczba szyb:;28

Klient:AKROBUD SOKO£OWSKI SPÓ£KA KOMANDYTOWA
