Numer zlecenia;Numer art.;Nowych bel;reszta
53502;18866730;10;2719
53502;19016730;4;5164
53502;19315730;11;5076
53502;19671000;15;5399
53502;202609;8;0
53502;202623;13;4302

Lista okien i drzwi dla tego zlecenia:
Lp.;Szerokosc;Wysokosc;Typ profilu;Ilosc sztuk;Referencja
1;4160;1271;BLOK;1;SOLAK
2;3578;1521;BLOK;1;SOLAK
3;2832;1521;BLOK;1;SOLAK
4;2530;1231;BLOK;1;ROOS
5;2055;951;BLOK;1;MOOREN
6;1888;951;BLOK;1;MOOREN
7;1427;1231;BLOK;1;ROOS
8;902;1271;BLOK;1;SOLAK
Laczna liczba sztuk okien i drzwi:;8
Laczna liczba skrzydel:;15
Laczna liczba szyb:;24
