Numer stojaka;Numer zamówienia klienta;Numer zamówienia dostawcy;Pozycja;Szerokosc;Wysokosc;Sztuk;Zlecenie;Zespolenie;Numer seryjny;Kod klienta;
3078030498;53551 AKR 16 GRUDZIEÑ;25991;2;707;1011;1;1      53551 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20954790;;
3078030498;53551 AKR 16 GRUDZIEÑ;25991;4;707;1011;1;1      53551 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20954792;;
3078030498;53551 AKR 16 GRUDZIEÑ;25991;10;707;1011;1;4      53551 poz.4;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20954798;;
3078030498;53551 AKR 16 GRUDZIEÑ;25991;12;707;1011;1;4      53551 poz.4;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20954800;;
3078030498;53551 AKR 16 GRUDZIEÑ;25991;6;702;1011;1;2      53551 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20954794;;
3078030498;53551 AKR 16 GRUDZIEÑ;25991;8;702;1011;1;3      53551 poz.3;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20954796;;
3078030498;53551 AKR 16 GRUDZIEÑ;25991;5;596;907;1;2      53551 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20954793;;
3078030498;53551 AKR 16 GRUDZIEÑ;25991;7;596;907;1;3      53551 poz.3;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20954795;;
3078030498;53551 AKR 16 GRUDZIEÑ;25991;1;560;907;1;1      53551 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20954789;;
3078030498;53551 AKR 16 GRUDZIEÑ;25991;3;560;907;1;1      53551 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20954791;;
3078030498;53551 AKR 16 GRUDZIEÑ;25991;9;560;907;1;4      53551 poz.4;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20954797;;
3078030498;53551 AKR 16 GRUDZIEÑ;25991;11;560;907;1;4      53551 poz.4;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20954799;;
3077005527;02527 AKR 16 GRUDZIEÑ;25972;31;668;877;1;1      53555 poz.1;Optitherm SI3 4\AL 12\Argon\Optifloat Clear 4\AL 12\Argon\Optitherm SI3 4;20954831;;
3077005527;02527 AKR 16 GRUDZIEÑ;25972;60;661;1177;1;4      53556 poz.4;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20954863;;
3077005527;02527 AKR 16 GRUDZIEÑ;25972;61;661;1177;1;4      53556 poz.4;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20954864;;
