Data 17.11.2025    Godzina 11:16


Numer 02449 AKR 5 GRUDZIEÑ  korekta II

PILKINGTON

Symbol                                   Iloœæ   Szer     Wys    Poz   Zlecenie           
4/16/4S3 Ug=1.1 ALU                         1     589    1191     1      53199 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     589    1191     1      53199 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     721    1295     1      53199 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     686    1191     2      53199 poz.2             
            
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     541     971     1      53307-b poz.1           
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     673    1075     1      53307-b poz.1           
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     541     971     1      53307-b poz.1           
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     673    1075     1      53307-b poz.1           
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     514     891     2      53307-b poz.2            
4/16/4S3 Ug=1.1 ALU                         1     398     951     1      53376 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     398     951     1      53376 poz.1             
4/16/4S3 Ug=1.1 ALU                         1    1443    1055     1      53376 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     398     951     2      53376 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     398     951     2      53376 poz.2             
4/16/4S3 Ug=1.1 ALU                         1    1443    1055     2      53376 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     398     951     3      53376 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     503    1055     3      53376 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     710     945     1      53380 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     948     984     1      53380 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     710     945     2      53380 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     948     984     2      53380 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     572     785     3      53380 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     572     785     3      53380 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     707     889     3      53380 poz.3             
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     444     945     1      53381 poz.1             
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     549    1049     1      53381 poz.1             
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     444     945     2      53381 poz.2             
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     578    1049     2      53381 poz.2             
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     444     945     2      53381 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     480     945     3      53381 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     495     945     4      53381 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     495     945     4      53381 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     629    1049     4      53381 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     679     945     5      53381 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     679     945     5      53381 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     815    1049     5      53381 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     815    1049     5      53381 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     710     945     6      53381 poz.6             
4/16/4S3 Ug=1.1 ALU                         1     908    1049     6      53381 poz.6             
4/16/4S3 Ug=1.1 ALU                         1     710     945     7      53381 poz.7             
4/16/4S3 Ug=1.1 ALU                         1     710     945     7      53381 poz.7             
4/16/4S3 Ug=1.1 ALU                         1    1008    1049     7      53381 poz.7             
4/16/4S3 Ug=1.1 ALU                         1     699     945     8      53381 poz.8             
4/16/4S3 Ug=1.1 ALU                         1     699     945     8      53381 poz.8             
4/16/4S3 Ug=1.1 ALU                         1     834    1049     8      53381 poz.8             
4/16/4S3 Ug=1.1 ALU                         1     699     945     9      53381 poz.9             
4/16/4S3 Ug=1.1 ALU                         1     699     945     9      53381 poz.9             
4/16/4S3 Ug=1.1 ALU                         1    1066    1049     9      53381 poz.9             
4/16/4S3 Ug=1.1 ALU                         1     606     945     1      53383 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     606     945     1      53383 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     741     984     1      53383 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     606     945     2      53383 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     606     945     2      53383 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     741     984     2      53383 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     710     835     3      53383 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     948     939     3      53383 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     978     939     3      53383 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     400     835     4      53383 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     505     939     4      53383 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     400     835     5      53383 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     505     939     5      53383 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     710     835     6      53383 poz.6             
4/16/4S3 Ug=1.1 ALU                         1     948     939     6      53383 poz.6             
4/16/4S3 Ug=1.1 ALU                         1     978     939     6      53383 poz.6             
4/16/4S3 Ug=1.1 ALU                         1     555     945     7      53383 poz.7             
4/16/4S3 Ug=1.1 ALU                         1     555     945     7      53383 poz.7             
4/16/4S3 Ug=1.1 ALU                         1     691    1049     7      53383 poz.7             
4/16/4S3 Ug=1.1 ALU                         1     560     945     8      53383 poz.8             
4/16/4S3 Ug=1.1 ALU                         1     665    1049     8      53383 poz.8             
4/16/4S3 Ug=1.1 ALU                         1     561     945     9      53383 poz.9             
4/16/4S3 Ug=1.1 ALU                         1     560     945     9      53383 poz.9             
4/16/4S3 Ug=1.1 ALU                         1     695    1049     9      53383 poz.9             
4/16/4S3 Ug=1.1 ALU                         1     755     951     1      53384 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     887    1055     1      53384 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     755     951     1      53384 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     887    1055     1      53384 poz.1             
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     597    1191     1      53385 poz.1             
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     597    1191     1      53385 poz.1             
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     729    1295     1      53385 poz.1             
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     642    1191     2      53385 poz.2             
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     642    1191     2      53385 poz.2             
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     773    1295     2      53385 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     591    1191     1      53386 poz.1             
4/16/4S3 Ug=1.1 ALU                         1    1122    1230     1      53386 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     696    1295     2      53386 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     619    1191     2      53386 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     696    1295     2      53386 poz.2             
