Data 17.11.2025    Godzina 14:45

Numer 02494 AKR 11 GRUDZIEÑ

PILKINGTON

Symbol                                   Iloœæ   Szer     Wys    Poz   Zlecenie           
4/16/4S3 Ug=1.1 ALU                         1     633     751     1      53455 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     737     855     1      53455 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     633     751     2      53455 poz.2             
4/16/4S3 Ug=1.1 ALU                         1    1054     855     2      53455 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     633     751     2      53455 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     676     851     1      53456 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     676     851     1      53456 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     808     955     1      53456 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     702     851     2      53456 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     807     955     2      53456 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     702     851     3      53456 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     807     955     3      53456 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     676     851     4      53456 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     676     851     4      53456 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     808     955     4      53456 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     733    1101     1      53457 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     838    1140     1      53457 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     733    1101     2      53457 poz.2             
4/16/4S3 Ug=1.1 ALU                         1    1096    1140     2      53457 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     601     951     3      53457 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     706    1055     3      53457 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     601     951     4      53457 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     809    1055     4      53457 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     601     951     4      53457 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     809    1055     4      53457 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     488    1051     5      53457 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     488    1051     5      53457 poz.5             
4/16/4S3 Ug=1.1 ALU                         1    1305    1155     5      53457 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     488    1051     6      53457 poz.6             
4/16/4S3 Ug=1.1 ALU                         1     488    1051     6      53457 poz.6             
4/16/4S3 Ug=1.1 ALU                         1     613    1151     1      53458 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     613    1151     1      53458 poz.1             
4/16/4S3 Ug=1.1 ALU                         1    1012    1255     1      53458 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     688     951     1      53459 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     820    1055     1      53459 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     688     951     1      53459 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     820    1055     1      53459 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     513     951     2      53459 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     513     951     2      53459 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     836    1055     2      53459 poz.2             


                              W.Kania

 Dostawa na  3 12 25 SRODA
