Data 20.11.2025    Godzina 12:20

Numer 02498 AKR 12 GRUDZIEÑ  Korekta

PILKINGTON

Symbol                                   Iloœæ   Szer     Wys    Poz   Zlecenie  
        
4/16/4S3 Ug=1.1 ALU                         1     613     951     1      53389 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     745    1055     1      53389 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     613     951     1      53389 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     745    1055     1      53389 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     586     951     2      53389 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     613     951     3      53389 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     745    1055     3      53389 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     613     951     3      53389 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     745    1055     3      53389 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     613     951     4      53389 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     613     951     4      53389 poz.4             
4/16/4S3 Ug=1.1 ALU                         1    1045    1055     4      53389 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     667     951     1      53420 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     773    1055     1      53420 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     667     951     2      53420 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     773    1055     2      53420 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     545     951     1      53440 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     650    1055     1      53440 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     545     951     2      53440 poz.2             
4/16/4S3 Ug=1.1 ALU                         1    1075    1055     2      53440 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     545     951     2      53440 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     713     951     1      53464 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     952    1055     1      53464 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     713     951     2      53464 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     952    1055     2      53464 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     677    1185     1      53465 poz.1             
4/16/4S3 Ug=1.1 ALU                         1    1200    1224     1      53465 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     677    1185     2      53465 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     782    1224     2      53465 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     503     945     3      53465 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     608    1049     3      53465 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     471     945     4      53465 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     605    1049     4      53465 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     471     945     4      53465 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     710     945     1      53466 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     710     945     1      53466 poz.1             
4/16/4S3 Ug=1.1 ALU                         1    1231    1049     1      53466 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     522     945     2      53466 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     522     945     2      53466 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     657    1049     2      53466 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     610     945     3      53466 poz.3             
4/16/4S3 Ug=1.1 ALU                         1    1301     984     3      53466 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     509     945     1      53467 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     509     945     1      53467 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     645     984     1      53467 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     614    1185     2      53467 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     614    1185     2      53467 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     750    1289     2      53467 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     750    1289     2      53467 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     710     945     3      53467 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     710     945     3      53467 poz.3             
4/16/4S3 Ug=1.1 ALU                         1    1081     984     3      53467 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     713     951     1      53468 poz.1             
4/16/4S3 Ug=1.1 ALU                         1    1279     990     1      53468 poz.1             
