Data 19.11.2025    Godzina 14:17

Numer 02502  AKR 8-15 GRUDZIEÑ

PILKINGTON

Symbol                                   Iloœæ   Szer     Wys    Poz   Zlecenie           
4/16/4S3 Ug=1.1 ALU                         1     331    1201     1      53482 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     437    1305     1      53482 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     678    1201     2      53482 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     812    1305     2      53482 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     678    1201     2      53482 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     812    1305     2      53482 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     678    1201     3      53482 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     812    1305     3      53482 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     678    1201     3      53482 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     812    1305     3      53482 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     331    1201     4      53482 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     437    1305     4      53482 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     708     951     1      53483 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     813    1055     1      53483 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     708     951     2      53483 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     813    1055     2      53483 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     554    1041     3      53483 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     589    1041     4      53483 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     694    1145     4      53483 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     723    1145     4      53483 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     613    1191     5      53483 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     718    1295     5      53483 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     583    1191     6      53483 poz.6             
4/16/4S3 Ug=1.1 ALU                         1     584    1191     6      53483 poz.6             
4/16/4S3 Ug=1.1 ALU                         1     716    1295     6      53483 poz.6             
4/16/4S3 Ug=1.1 ALU                         1     518    1295     1      53484 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     413    1191     1      53484 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     601    1191     2      53484 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     601    1191     2      53484 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     732    1295     2      53484 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     732    1295     2      53484 poz.2             


                              W.Kania

 Dostawa na  28 11 25 PIATEK
