Data 21.11.2025    Godzina 15:21

Numer 05511 AKR 15 GRUDZIEÑ

PILKINGTON

Symbol                                   Iloœæ   Szer     Wys    Poz   Zlecenie           
4/16/4S3 Ug=1.1 ALU                         1     608     951     1      53478 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     713    1055     1      53478 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     740    1055     1      53478 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     947     951     2      53478 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     546     951     3      53478 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     546     951     3      53478 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     679    1055     3      53478 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     685    1055     4      53478 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     685    1055     4      53478 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     607     951     4      53478 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     685    1055     5      53478 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     685    1055     5      53478 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     607     951     5      53478 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     760     951     1      53485 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     760     951     1      53485 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     891    1055     1      53485 poz.1             
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     699    1201     2      53485 poz.2             
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     699    1201     2      53485 poz.2             
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     831    1305     2      53485 poz.2             
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     831    1305     2      53485 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     658    1191     3      53485 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     763    1295     3      53485 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     630    1191     4      53485 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     630    1191     4      53485 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     763    1295     4      53485 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     713     951     1      53508 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     713     951     1      53508 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     998    1055     1      53508 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     713     951     2      53508 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     713     951     2      53508 poz.2             
4/16/4S3 Ug=1.1 ALU                         1    1746    1055     2      53508 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     713     951     3      53508 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     713     951     3      53508 poz.3             
4/16/4S3 Ug=1.1 ALU                         1    1375    1055     3      53508 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     713     951     4      53508 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     713     951     4      53508 poz.4             
4/16/4S3 Ug=1.1 ALU                         1    1375    1055     4      53508 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     713     951     5      53508 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     713     951     5      53508 poz.5             
4/16/4S3 Ug=1.1 ALU                         1    1781    1055     5      53508 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     737     951     6      53508 poz.6             
4/16/4S3 Ug=1.1 ALU                         1     737     951     6      53508 poz.6             
4/16/4S3 Ug=1.1 ALU                         1    1793     990     6      53508 poz.6             
4SUNCOOL(70/35)/16/4 ALU U=1.0              1     533    1201     1      53509 poz.1             
4SUNCOOL(70/35)/16/4 ALU U=1.0              1     533    1201     1      53509 poz.1             
4SUNCOOL(70/35)/16/4 ALU U=1.0              1     561    1201     1      53509 poz.1             
4SUNCOOL(70/35)/16/4 ALU U=1.0              1     799    1201     2      53509 poz.2             
4SUNCOOL(70/35)/16/4 ALU U=1.0              1     799    1201     2      53509 poz.2             
4SUNCOOL(70/35)/16/4 ALU U=1.0              1     829    1201     2      53509 poz.2             
4SUNCOOL(70/35)/16/4 ALU U=1.0              1     686    1201     3      53509 poz.3             
4SUNCOOL(70/35)/16/4 ALU U=1.0              1     686    1201     3      53509 poz.3             
4SUNCOOL(70/35)/16/4 ALU U=1.0              1     715    1201     3      53509 poz.3             
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     588     951     4      53509 poz.4             
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     692     975     4      53509 poz.4             
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     527     951     5      53509 poz.5             
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     660     975     5      53509 poz.5             
4S3/12/4/12/4S3 Ug=0.7 ALU                  1     527     951     5      53509 poz.5             


                              W.Kania

 Dostawa na  5 12 25 PIATEK
