Numer stojaka;Numer zamówienia klienta;Numer zamówienia dostawcy;Pozycja;Szerokosc;Wysokosc;Sztuk;Zlecenie;Zespolenie;Numer seryjny;Kod klienta;
3075017881;02473 AKR 2 GRUDZIEÑ;24427;14;665;737;1;2      53430 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934685;;
3075017881;02473 AKR 2 GRUDZIEÑ;24427;15;664;737;1;2      53430 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934686;;
3075017881;02473 AKR 2 GRUDZIEÑ;24427;56;650;1081;1;5      53432 poz.5;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934727;;
3075017881;02473 AKR 2 GRUDZIEÑ;24427;62;647;1081;1;1      53434 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934733;;
3075017881;02473 AKR 2 GRUDZIEÑ;24427;54;643;1081;1;4      53432 poz.4;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934725;;
3075017881;02473 AKR 2 GRUDZIEÑ;24427;3;641;827;1;2      53316 poz.2;Optitherm SI3 4\AL 12\Argon\Optifloat Clear 4\AL 12\Argon\Optitherm SI3 4;20934674;;
3075017881;02473 AKR 2 GRUDZIEÑ;24427;27;640;1169;1;1      53431 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934698;;
3075017881;02473 AKR 2 GRUDZIEÑ;24427;11;635;1177;1;1      53430 poz.1;Optitherm SI3 4\AL 12\Argon\Optifloat Clear 4\AL 12\Argon\Optitherm SI3 4;20934682;;
3075017881;02473 AKR 2 GRUDZIEÑ;24427;12;634;1177;1;1      53430 poz.1;Optitherm SI3 4\AL 12\Argon\Optifloat Clear 4\AL 12\Argon\Optitherm SI3 4;20934683;;
3075017881;02473 AKR 2 GRUDZIEÑ;24427;108;636;997;1;6      53437 poz.6;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934779;;
3075017881;02473 AKR 2 GRUDZIEÑ;24427;109;636;997;1;6      53437 poz.6;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934780;;
3075017881;02473 AKR 2 GRUDZIEÑ;24427;32;631;1065;1;3      53431 poz.3;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934703;;
3075017881;02473 AKR 2 GRUDZIEÑ;24427;33;631;1065;1;3      53431 poz.3;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934704;;
3075017881;02473 AKR 2 GRUDZIEÑ;24427;39;630;1027;1;6      53431 poz.6;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934710;;
3075017881;02473 AKR 2 GRUDZIEÑ;24427;85;622;987;1;7      53436 poz.7;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934756;;
3075017881;02473 AKR 2 GRUDZIEÑ;24427;86;622;987;1;7      53436 poz.7;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934757;;
3075017881;02473 AKR 2 GRUDZIEÑ;24427;74;621;1291;1;2      53436 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934745;;
3075017881;02473 AKR 2 GRUDZIEÑ;24427;36;620;1169;1;4      53431 poz.4;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934707;;
3078029607;02473 AKR 2 GRUDZIEÑ;24427;114;702;1051;1;8      53437 poz.8;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934785;;
3078029607;02473 AKR 2 GRUDZIEÑ;24427;100;695;1241;1;2      53437 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934771;;
3078029607;02473 AKR 2 GRUDZIEÑ;24427;112;698;1051;1;7      53437 poz.7;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934783;;
3078029607;02473 AKR 2 GRUDZIEÑ;24427;38;694;821;1;5      53431 poz.5;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934709;;
3078029607;02473 AKR 2 GRUDZIEÑ;24427;41;692;1027;1;7      53431 poz.7;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934712;;
3078029607;02473 AKR 2 GRUDZIEÑ;24427;42;692;1027;1;7      53431 poz.7;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934713;;
3078029607;02473 AKR 2 GRUDZIEÑ;24427;103;690;1131;1;3      53437 poz.3;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934774;;
3078029607;02473 AKR 2 GRUDZIEÑ;24427;104;690;1131;1;3      53437 poz.3;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934775;;
3078029607;02473 AKR 2 GRUDZIEÑ;24427;1;690;827;1;1      53316 poz.1;Optitherm SI3 4\AL 12\Argon\Optifloat Clear 4\AL 12\Argon\Optitherm SI3 4;20934672;;
3078029607;02473 AKR 2 GRUDZIEÑ;24427;65;680;1081;1;2      53434 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934736;;
3078029607;02473 AKR 2 GRUDZIEÑ;24427;82;672;987;1;6      53436 poz.6;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934753;;
3078029607;02473 AKR 2 GRUDZIEÑ;24427;83;672;987;1;6      53436 poz.6;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934754;;
3078029607;02473 AKR 2 GRUDZIEÑ;24427;75;667;1177;1;3      53436 poz.3;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934746;;
3078029607;02473 AKR 2 GRUDZIEÑ;24427;76;667;1177;1;3      53436 poz.3;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934747;;
3078029607;02473 AKR 2 GRUDZIEÑ;24427;59;664;1331;1;6      53432 poz.6;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934730;;
3078029607;02473 AKR 2 GRUDZIEÑ;24427;10;665;1181;1;2      53429 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934681;;
3078029607;02473 AKR 2 GRUDZIEÑ;24427;28;665;1065;1;2      53431 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934699;;
3078029607;02473 AKR 2 GRUDZIEÑ;24427;29;665;1065;1;2      53431 poz.2;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934700;;
3078043030;02473 AKR 2 GRUDZIEÑ;24427;46;928;1161;1;1      53432 poz.1;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934717;;
3078043030;02473 AKR 2 GRUDZIEÑ;24427;95;919;1091;1;9      53436 poz.9;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934766;;
3078043030;02473 AKR 2 GRUDZIEÑ;24427;81;893;1281;1;5      53436 poz.5;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934752;;
3078043030;02473 AKR 2 GRUDZIEÑ;24427;23;866;921;1;4      53430 poz.4;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934694;;
3078043030;02473 AKR 2 GRUDZIEÑ;24427;24;866;921;1;4      53430 poz.4;Optifloat Clear 4\AL 16\Argon\Optitherm SI3 4;20934695;;
