Numer zlecenia;Numer art.;Nowych bel;reszta
53367;18866000;11;0
53367;19016000;4;3840
53367;19315000;14;3981
53367;19671000;18;1701
53367;19701000;1;4754
53367;202609;10;5588
53367;202623;16;1904
53367;202717;1;4777

Lista okien i drzwi dla tego zlecenia:
Lp.;Szerokosc;Wysokosc;Typ profilu;Ilosc sztuk;Referencja
1;3510;1445;BLOK;1;D2963
2;3260;1445;BLOK;1;D2964
3;3040;1195;BLOK;2;D4243
4;2720;1195;BLOK;1;D4390
5;2650;1195;BLOK;1;D4389
6;2150;1195;BLOK;2;C8455
7;1260;1195;BLOK;1;D4390
8;780;1195;BLOK;1;C9034
9;780;1195;BLOK;1;C9034
Laczna liczba sztuk okien i drzwi:;11
Laczna liczba skrzydel:;17
Laczna liczba szyb:;29
