Numer zlecenia;Numer art.;Nowych bel;reszta
53374;18866000;9;1926
53374;19016000;3;1680
53374;19315000;10;0
53374;19671000;13;3838
53374;202609;8;5330
53374;202623;12;3860

Lista okien i drzwi dla tego zlecenia:
Lp.;Szerokosc;Wysokosc;Typ profilu;Ilosc sztuk;Referencja
1;3032;1195;BLOK;1;D3140
2;2650;1195;BLOK;1;D3140
3;2444;1195;BLOK;1;D3140
4;2430;1195;BLOK;1;C8391
5;2430;1195;BLOK;1;C8391
6;2070;1195;BLOK;1;D3140
7;1630;1195;BLOK;1;C8391
8;830;1195;BLOK;1;C8391
Laczna liczba sztuk okien i drzwi:;8
Laczna liczba skrzydel:;14
Laczna liczba szyb:;22
